abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
nan,58dfce877c459f24986d7d77,398,by deb amlen,article,variety puzzle acrostic,crossword puzzles acrostic puzzles,0,games,0,20170401 160002,unknown,emily cox and henry rathvon reveal a miracle,the new york times,news,httpswwwnytimescom20170401crosswordsvarietypuzzleacrostichtml
nan,58dfe4107c459f24986d7d9e,1303,by bill pennington,article,they can hit a ball 400 feet but play catch thats tricky,baseball baseball college,3,sports,1,20170401 173151,baseball,in modern youth baseball the fundamentals are falling by the wayside in favor of flashier skills like bigleaguestyle hitting and pitching,the new york times,news,httpswwwnytimescom20170401sportsbaseballtheycanhit400foothomersbutplayingcatchthatstrickyhtml
nan,58dff0827c459f24986d7daa,879,by nicholas kristof,article,in trump country shock at trump budget cuts,trump donald j united states politics and government labor and jobs layoffs and job reductions voting and voters federal budget us tulsa okla,3,oped,9,20170401 182459,sunday review,people who have depended on programs that would be hurt by the presidents costcutting say they stand by him,the new york times,oped,httpswwwnytimescom20170401opinionsundayintrumpcountryshockattrumpbudgetcutsbutstillloyaltyhtml
nan,58dff1b17c459f24986d7dae,1513,by michelle goldberg,article,why is this hate different from all other hate,jews and judaism muslim americans trump donald j gorka sebastian bannon stephen k breitbart news network llc antisemitism muslims and islam flynn michael t,2,oped,3,20170401 183004,sunday review,were on high alert for antisemitism but the real bigotry is hiding in plain sight,the new york times,oped,httpswwwnytimescom20170401opinionsundaywhyisthishatedifferentfromallotherhatehtml
nan,58dff1af7c459f24986d7dab,1253,by the editorial board,article,pick your favorite ethical offender,conflicts of interest trump donald j appointments and executive changes trump ivanka kushner jared united states politics and government ethics and official misconduct gottlieb scott 1972  icahn carl c liddell christopher p perdue sonny bannon stephen k,3,editorial,8,20170401 183004,sunday review,many trump officials  friends family members and close aides  stand to rake it in at the publics expense,the new york times,editorial,httpswwwnytimescom20170401opinionsundaypickyourfavoriteethicsoffenderhtml
nan,58dff1bc7c459f24986d7db2,1079,by rebecca carroll,article,my sons growing black pride,blacks race and ethnicity discrimination police brutality misconduct and shootings social conditions and trends,3,oped,6,20170401 183016,sunday review,youre so lucky my son said to me people look at you and know that you are black,the new york times,oped,httpswwwnytimescom20170401opinionsundayblackandproudevenifstrangerscanttellhtml
nan,58dff1c07c459f24986d7db5,1068,by dan lyons,article,jerks and the startups they ruin,venture capital sexual harassment startups workplace environment kalanick travis uber technologies inc,3,oped,7,20170401 183019,sunday review,bro ceos like the head of uber will keep destroying companies until people stop paying them,the new york times,oped,httpswwwnytimescom20170401opinionsundayjerksandthestartupstheyruinhtml
nan,58dff1c57c459f24986d7db9,844,by ross douthat,article,trump  needs  a brain,united states politics and government republican party trump donald j,3,oped,9,20170401 183021,sunday review,or a brain trust to figure out what trumpism should be,the new york times,oped,httpswwwnytimescom20170401opinionsundaytrumpneedsabrainhtml
nan,58dff1c07c459f24986d7db6,1241,by frank bruni,article,manhood in the age of trump,gender men and boys advertising and marketing trump donald j,3,oped,3,20170401 183021,sunday review,raging lust boiling anger imperious authority is this what masculinity is still about,the new york times,oped,httpswwwnytimescom20170401opinionsundaymanhoodintheageoftrumphtml
nan,58dff1c07c459f24986d7db7,910,by skylar mitchell,article,the value of a black college,colleges and universities spelman college blacks,3,oped,10,20170401 183022,sunday review,there is something powerful about attending an institution that was built for you,the new york times,oped,httpswwwnytimescom20170401opinionsundayfindinggrowthatmyhistoricallyblackcollegehtml
nan,58e022ef7c459f24986d7dfb,856,by deb amlen,article,initial description,crossword puzzles,3,games,0,20170401 220003,unknown,jerry micolis spells it out for us,the new york times,news,httpswwwnytimescom20170401crosswordsinitialdescriptionswantrioatlashtml
nan,58e1746c7c459f24986d7f67,510,by deb amlen,article,rough estimates,crossword puzzles baseball,3,games,0,20170402 220002,unknown,agnes davidson makes her debut ably assisted by zhouqin burnikel,the new york times,news,httpswwwnytimescom20170402crosswordsroughestimatesjupitertreehuggershtml
nan,58e179167c459f24986d7f70,694,by jennifer krauss,article,el pasatiempo nacional,baseball major league baseball spanish language new york mets,3,insider,2,20170402 222002,unknown,james wagner a new york times sports writer has found that his native command of spanish helps him report from dugouts and locker rooms,the new york times,news,httpswwwnytimescom20170402insiderjameswagnerbaseballspanishhtml
nan,58e190867c459f24986d7f92,178,by joseph mcmahon,article,cooling off on a hot day at yankee stadium,baseball new york yankees yankee stadium nyc new york city,0,metro,18,20170403 000002,unknown,sometimes the most compelling action isnt on the field,the new york times,news,httpswwwnytimescom20170402nyregionmetropolitandiarycoolingoffonahotdayatyankeestadiumhtml
nan,58e19f4f7c459f24986d7fb0,1548,by steve eder eric lipton and andrew w lehren,article,trumps staff mixed politics and paydays,trump donald j united states politics and government campaign finance conflicts of interest citizens united v federal election commission supreme court decision political action committees consultants mcgahn donald f ii bannon stephen k conway kellyanne priebus reince r mcfarland kathleen troia gorka sebastian mercer robert 1946  greenblatt jason d passantino stefan c short marc,3,national,1,20170403 010256,politics,as cash has flooded washington from a variety of groups even the antiestablishment activists and operatives who sided with president trump have been enriched,the new york times,news,httpswwwnytimescom20170402uspoliticstrumpaidesdisclosuresrevealexplosioninlucrativepoliticalworkhtml
nan,58e1a10a7c459f24986d7fb3,1045,by harvey araton,article,a virtuoso rebuilding act requires everyone in tune,basketball boston celtics ainge danny stevens brad 1976  olynyk kelly,3,sports,4,20170403 011009,pro basketball,coach brad stevens and the top executive danny ainge have turned a mediocre franchise into a playoff contender the knicks should watch and learn,the new york times,news,httpswwwnytimescom20170402sportsbasketballbostoncelticsdannyaingenewyorkknickshtml
nan,58e1acab7c459f24986d7fc6,820,by judith warner,article,homeland season 6 episode 11 is quinn just a natural killer,television homeland tv program,3,culture,0,20170403 020003,television,did you happen to notice how much of the show was about one character trying to get another to say something dar and max carrie and quinn saul and everyone,the new york times,news,httpswwwnytimescom20170402artstelevisionhomelandseason6episode11isquinnjustanaturalkillerhtml
nan,58e1acb87c459f24986d7fc7,1025,by james poniewozik,article,big little lies and the art of empathy,television big little lies tv program home box office kelley david e vallee jeanmarc kidman nicole witherspoon reese woodley shailene,3,culture,0,20170403 020015,television,sundays series finale delivered a verdict but judgment  that we got from beginning to end,the new york times,review,httpswwwnytimescom20170402artstelevisionbiglittleliesfinalehtml
nan,58e1acb97c459f24986d7fc8,947,by ben brantley,article,upending a whodunit,theater the play that goes wrong play bell mark theater director lyceum theater manhattan ny mischief theater theater co,3,culture,1,20170403 020018,unknown,this knockabout farce from london trades on the perverse comfort of watching things go smash in a safe contained environment,the new york times,review,httpswwwnytimescom20170402theaterreviewtheplaythatgoeswrongreviewhtml
nan,58e1bab87c459f24986d7fd7,1129,by sheila omalley,article,feud bette and joan episode 5 taking the stage,television feud bette and joan tv program,3,culture,0,20170403 030003,television,joan crawford wasnt nominated for an oscar in 1963 but she made sure she accepted one anyway,the new york times,review,httpswwwnytimescom20170402artstelevisionfeudbetteandjoanandthewinneristheoscarsof1963recaphtml
nan,58e1bab77c459f24986d7fd6,1160,by scott tobias,article,billions season 2 episode 7 greed is good except when its not,television billions tv program,3,culture,0,20170403 030003,television,unlike most cinematic portrayals of wall street billions again demonstrates its willingness to make its characters revolting,the new york times,news,httpswwwnytimescom20170402artstelevisionbillionsseasonvictorylaprecaphtml
nan,58e1c7977c459f24986d7fe3,1396,by jeremy egner,article,unknown,television the walking dead tv program,3,culture,0,20170403 035449,television,the walking dead wrapped up season 7 with a wellpaced episode that kicked off a new phase of the story,the new york times,news,httpswwwnytimescom20170402artstelevisionthewalkingdeadseason7finalethefirstdayoftherestofyourlifehtml
nan,58e1e52f7c459f24986d8014,452,by the learning network,article,whats going on in this picture  april 3 2017,,3,learning,0,20170403 060102,unknown,look closely at this image stripped of its caption and join the moderated conversation about what you and other students see,the new york times,news,httpswwwnytimescom20170403learningwhatsgoingoninthispictureapril32017html
nan,58e1e5617c459f24986d8015,254,by shannon doyne,article,unknown,,3,learning,0,20170403 060202,unknown,what does a recent study say about the number of video game players who may be addicted as well as how they should be helped,the new york times,news,httpswwwnytimescom20170403learningquestionsforvideogamesarentaddictivehtml
nan,58e1f36e7c459f24986d8032,499,by shannon doyne,article,have you ever felt pressured by family or others in making an important decision about your future,,3,learning,0,20170403 070202,unknown,who has had the strongest influence on you when it comes to making choices that will affect your future,the new york times,news,httpswwwnytimescom20170403learninghaveyoueverfeltpressuredbyfamilyorothersinmakinganimportantdecisionaboutyourfuturehtml
nan,58e1f7c37c459f24986d803e,2029,by jeff mcmahan and peter singer,article,unknown,disabilities abuse of the disabled rutgers the state university of new jersey singer peter 1946  stubblefield anna 1969  philosophy colleges and universities sex crimes,3,oped,0,20170403 072027,unknown,on tuesday a court will hear the appeal of the former professor convicted of sexually assaulting a disabled man her sentence is too harsh,the new york times,oped,httpswwwnytimescom20170403opinionwhoisthevictimintheannastubblefieldcasehtml
nan,58e1f7f27c459f24986d8045,567,by the editorial board,article,a cornerstone of peace at risk,united states defense and military forces united states international relations united states politics and government arms control and limitation and disarmament russia putin vladimir v trump donald j,3,editorial,22,20170403 072113,unknown,russias violation of the intermediaterange nuclear forces treaty is a crucial security challenge for the trump administration,the new york times,editorial,httpswwwnytimescom20170403opinionacornerstoneofpeaceatriskhtml
nan,58e1f7f27c459f24986d8044,800,by paul krugman,article,trump is  wimping out on trade,trump donald j international trade and world market north american free trade agreement united states politics and government,3,oped,23,20170403 072114,unknown,why are big boasts turning into tiny policy tweaks,the new york times,oped,httpswwwnytimescom20170403opiniontrumpiswimpingoutontradehtml
nan,58e1f7f37c459f24986d8048,817,by charles m blow,article,the dwindling odds of coincidence,united states politics and government cyberwarfare and defense presidential election of 2016 impeachment trump donald j flynn michael t russia,3,oped,23,20170403 072114,unknown,connecting the dots which have been multiplying at an alarming rate,the new york times,oped,httpswwwnytimescom20170403opiniondwindlingoddsofcoincidencehtml
nan,58e1f7f17c459f24986d8042,1298,by tariq ali,article,what was lenin thinking,russian revolution 1917 politics and government pravda red army soviet union gorbachev mikhail s khrushchev nikita s lenin vladimir stalin joseph trotsky leon europe germany moscow russia russia ussr former soviet union,3,oped,0,20170403 072114,unknown,in the shape of its first leader the russian revolution had a strategic genius it never found again,the new york times,oped,httpswwwnytimescom20170403opinionwhatwasleninthinkinghtml
walden pond may conjure images of a new england idyll but given the human activity around thoreau8217s touchstone you8217re more likely to find people taking selfies than engaging in selfreflection,58e201e47c459f24986d8057,812,by jordan g teicher,blogpost,unknown,photography walden pond concord mass thoreau henry david walker s b,3,unknown,0,20170403 080033,unknown,walden pond may conjure images of a new england idyll but given the human activity around thoreau8217s touchstone you8217re more likely to find people taking selfies than engaging in selfreflection,the new york times,blog,httpslensblogsnytimescom20170403waldenpondwhereyoufindmoreselfiesthanselfreflection
nan,58e202757c459f24986d8058,874,by adam jentleson,article,mitch mcconnells trigger finger,filibusters and debate curbs republican party supreme court us gorsuch neil m democratic party mcconnell mitch,3,oped,23,20170403 080606,unknown,the democrats should stand firm against neil gorsuchs supreme court nomination let the republicans be the ones who undo senate rules,the new york times,oped,httpswwwnytimescom20170403opinionmitchmcconnellsnucleartriggerfingerhtml
nan,58e20fba7c459f24986d8077,1455,by david e sanger and william j broad,article,ad from north korea yields nuclear clues,nuclear weapons arms control and limitation and disarmament north korea trump donald j kim jongun united states international relations china nuclear tests lithium metal isotopes,3,foreign,9,20170403 090246,asia pacific,an ad for the bombboosting isotope lithium 6 suggests how far the norths nuclear program has come and how difficult president trumps vow to halt it will be,the new york times,news,httpswwwnytimescom20170403uspoliticsnorthkoreanucleartrumpchinahtml
nan,58e210467c459f24986d8079,1061,by perri klass md,article,good news for older mothers,pregnancy and childbirth birth rates parenting women and girls,3,well,0,20170403 090503,family,research finds that children born to women in their late 30s did significantly better on cognitive testing than those of younger mothers,the new york times,news,httpswwwnytimescom20170403wellfamilygoodnewsfortheoldermothershtml
nan,58e2162b7c459f24986d8085,892,by aaron e carroll,article,does birth control cause depression,birth control and family planning women and girls hormones depression mental teenage pregnancy mental health and disorders,3,upshot,11,20170403 093014,unknown,putting a study in context even if there were a connection with hormonebased contraception the benefits might outweigh any risks,the new york times,news,httpswwwnytimescom20170403upshotbirthcontrolcausesdepressionnotsofasthtml
nan,58e21d3d7c459f24986d8099,1098,by jane e brody,article,turning negative thinkers into positive ones,love emotion anxiety and stress empathy mental health and disorders,66,science,5,20170403 100023,live,chronically viewing the glass as halfempty inhibits ones ability to bounce back from lifes inevitable stresses,the new york times,news,httpswwwnytimescom20170403wellliveturningnegativethinkersintopositiveoneshtml
nan,58e21ea47c459f24986d809b,1050,by jonathan wolfe,article,new york today a belated budget,,3,metro,0,20170403 100619,unknown,monday wrangling over state funding shutting down rikers island and making the first private cellphone call,the new york times,briefing,httpswwwnytimescom20170403nyregionnewyorktodayabelatedbudgethtml
nan,58e22b407c459f24986d80b8,1261,by allison stanger,article,middlebury my divided campus,colleges and universities demonstrations protests and riots middlebury college surveillance of citizens by government freedom of speech and expression,3,edlife,22,20170403 110003,education life,to one side free speech is paramount to the other inclusivity is to a professor caught in the middle theres a bridge,the new york times,news,httpswwwnytimescom20170403educationedlifemiddleburydividedcampuscharlesmurrayfreespeechhtml
nan,58e288a67c459f24986d81d9,1190,by matt flegenheimer,article,democrats vow to bar gorsuch sets up a clash,united states politics and government gorsuch neil m trump donald j appointments and executive changes senate committee on the judiciary republican party supreme court us democratic party senate,3,national,1,20170403 173842,politics,the senate judiciary committee approved the nomination of judge neil m gorsuch and sent it to the deeply divided full senate,the new york times,news,httpswwwnytimescom20170403uspoliticssenatedemocratsappearpoisedtofilibustergorsuchnominationhtml
nan,58e293557c459f24986d81fc,1279,by miriam jordan,article,h1b visa applications pour in by the truckload,visas immigration and emigration foreign workers outsourcing citizenship and immigration services us computers and the internet,3,national,1,20170403 182359,unknown,possible changes to a program that allows technology companies to import foreign workers may be adding to an even heavier rush than usual this year,the new york times,news,httpswwwnytimescom20170403ustechvisaapplicationsh1bhtml
nan,58e29a807c459f24986d8213,1106,by marc tracy,article,in amplified world critics take aim at referees,officiating sports basketball college national collegiate athletic assn higgins john referee,3,sports,8,20170403 185448,college basketball,john higgins was harassed by fans for his performance in a game in which his bosses felt he performed well illustrating referees often thankless task,the new york times,news,httpswwwnytimescom20170403sportsncaabasketballrefereejohnhigginsncaatournamenthtml
nan,58e2a0ba7c459f24986d8227,513,by robert simonson,article,a revered milwaukee restaurant karl ratzsch says goodbye,restaurants milwaukee wis hauck thomas karl ratzsch milwaukee wis restaurant,2,dining,0,20170403 192120,unknown,the german dining institution has closed after 113 years and a major effort by the noted chef thomas hauck,the new york times,news,httpswwwnytimescom20170403diningmilwaukeegermanrestaurantkarlratzschclosedhtml
nan,58e2add17c459f24986d8248,1035,by ben shpigel,article,nhl says its players will skip 2018 olympics,olympic games 2018 hockey ice national hockey league international olympic committee,3,sports,7,20170403 201710,hockey,nhl players have participated in every olympics since 1998 but owners do not want to shut down the league for a few weeks to cater to the games in pyeongchang south korea,the new york times,news,httpswwwnytimescom20170403sportshockeynhl2018olympicspyeongchanghtml
nan,58e2b7477c459f24986d8264,599,by alexis soloski,article,in the company of a classic nasty woman,theater hamill kate a 1981  pearl theater co thackeray william makepeace vanity fair play,3,culture,2,20170403 205737,unknown,kate hamill and eric tucker the team behind 2014s sense and sensibility are back with a breathless vanity fair adaptation at the pearl theater,the new york times,review,httpswwwnytimescom20170403theatervanityfairbroadwayreviewkatehamillerictuckerhtml
nan,58e2c2cf7c459f24986d8283,2730,by katherine schulten,article,22 ways to teach and learn about poetry with the new york times,,57,learning,0,20170403 214643,lesson plans,ideas for helping even the most verse averse find something to enjoy,the new york times,news,httpswwwnytimescom20170403learninglessonplans22waystoteachandlearnaboutpoetrywiththenewyorktimeshtml
nan,58e2cd567c459f24986d82a5,830,by joan nathan,article,in search of king solomons pantry,cooking and cookbooks passover jews and judaism,3,dining,6,20170403 223142,unknown,little is known about the biblical king some scholars even doubt his existence but he had a ravenous appetite and access to foods from across the world,the new york times,news,httpswwwnytimescom20170403diningthelegendofkingsolomonandthepassoverfeasthtml
nan,58e2d3a27c459f24986d82b6,1006,by angelica jade bastién,article,unknown,television the good fight tv program,3,culture,0,20170403 225838,television,the return of a founding partner makes members of the firm question what theyve come to represent,the new york times,review,httpswwwnytimescom20170403artstelevisionthegoodfightreddickvbosemanecaphtml
nan,58e2e20e7c459f24986d82db,206,by julia lansford,article,going back to move forward,new york city,0,metro,18,20170404 000002,unknown,an episode on a tour bus seems to foretell the future,the new york times,brief,httpswwwnytimescom20170403nyregionmetropolitandiarygoingbacktomoveforwardhtml
nan,58e2e4bb7c459f24986d82e0,596,by the editorial board,article,a peek into the white house swamp,united states politics and government ethics and official misconduct trump donald j conflicts of interest office of government ethics priebus reince r conway kellyanne mcgahn donald f ii mcfarland kathleen troia,3,editorial,26,20170404 001133,unknown,officials financial disclosure forms raise more questions than they answer and provide no assurance of ethical behavior,the new york times,editorial,httpswwwnytimescom20170403opinionapeekintothewhitehouseswamphtml
nan,58e2fe2d7c459f24986d8306,367,by deb amlen,article,disney character,crossword puzzles,3,games,0,20170404 020002,unknown,timothy polin teaches us that actions have consequences,the new york times,news,httpswwwnytimescom20170403crosswordsdisneycharacternoblelineonthebeachhtml
nan,58e2fe327c459f24986d8307,974,by ben brantley,article,living the quirky dream,theater amelie play mackinnon pam nigrini peter 1971  pinkleton sam tysen nathan zinn david soo phillipa kerr walter theater lucas craig messe daniel,3,culture,1,20170404 020016,unknown,this mildmannered musical adaptation of the famously divisive 2001 french film is unlikely to inspire similarly passionate responses,the new york times,review,httpswwwnytimescom20170403theaterameliemusicalbroadwayreviewphillipasoohtml
nan,58e3019b7c459f24986d830c,889,by sheryl gay stolberg and eric lichtblau,article,justice dept to reexamine police accords,baltimore md sessions jefferson b iii justice department police attorneys general chicago ill police brutality misconduct and shootings local government police department baltimore md police department chicago ill,3,national,1,20170404 021442,unknown,attorney general jeff sessions has ordered a review of federal agreements with dozens of law enforcement agencies including the baltimore police department,the new york times,news,httpswwwnytimescom20170403usjusticedepartmentjeffsessionsbaltimorepolicehtml
nan,58e31f947c459f24986d832e,1396,by zach schonbrun,article,this year their year,basketball college national collegiate athletic assn university of north carolina gonzaga university,3,sports,7,20170404 042236,college basketball,with a strong secondhalf defensive effort north carolina claimed the sixth national title in its programs history a year after a heartbreaking loss,the new york times,news,httpswwwnytimescom20170404sportsncaabasketballnorthcarolinabeatsgonzagancaachampionshtml
nan,58e3310c7c459f24986d8344,1236,by margot sangerkatz,article,latest health proposal weakens coverage for preexisting conditions,health insurance and managed care patient protection and affordable care act 2010 republican party meadows mark r 1959  house of representatives,3,upshot,13,20170404 053707,unknown,the proposal would effectively eliminate one of the affordable care acts most popular provisions,the new york times,news,httpswwwnytimescom20170404upshotfreedomcaucushealthcarepreexistingconditionshtml
nan,58e336e47c459f24986d834a,66,by katherine schulten,article,losing things,,3,learning,0,20170404 060202,unknown,do you lose things often how do you find them again when have you recently lost an item that caused you a great deal of trouble to find or replace,the new york times,news,httpswwwnytimescom20170404learninglosingthingshtml
nan,58e349707c459f24986d8363,827,by david brooks,article,lets go for a win on opioids,painrelieving drugs drug abuse and traffic drugs pharmaceuticals heroin trump donald j,3,oped,27,20170404 072113,unknown,this is the moment for a war on a problem that is getting worse,the new york times,oped,httpswwwnytimescom20170404opinionletsgoforawinonopioidshtml
nan,58e349707c459f24986d8366,866,by randolph bracy,article,floridas vengeful governor,capital punishment blacks ayala aramis d clayton debra orlando fla police officer loyd markeith scott richard l florida,3,oped,27,20170404 072114,unknown,rick scott is punishing a prosecutor who took a stand against the death penalty,the new york times,oped,httpswwwnytimescom20170404opinionfloridasvengefulgovernorhtml
nan,58e349707c459f24986d8365,806,by david leonhardt,article,how to end the politicization of the courts,federal courts us republican party filibusters and debate curbs courts and the judiciary garland merrick b gorsuch neil m democratic party supreme court us,3,oped,26,20170404 072114,unknown,hint voting to confirm neil gorsuch wont do it,the new york times,oped,httpswwwnytimescom20170404opinionhowtoendthepoliticizationofthecourtshtml
nan,58e349707c459f24986d8364,1358,by david j garrow,article,when dr king came out against vietnam,vietnam war king martin luther jr civil rights movement 195468 speeches and statements riverside church vietnam johnson lyndon baines,3,oped,27,20170404 072115,unknown,fifty years ago he delivered the most politically charged speech of his life he was ahead of his time,the new york times,oped,httpswwwnytimescom20170404opinionwhenmartinlutherkingcameoutagainstvietnamhtml
eric gyamfi8217s project 8220just like us8221 is an antidote to prescribed narratives for the lgbt community in his native ghana,58e354247c459f24986d8387,710,by jake naughton,blogpost,unknown,discrimination photography ghana gyamfi eric,3,unknown,0,20170404 080005,unknown,eric gyamfi8217s project 8220just like us8221 is an antidote to prescribed narratives for the lgbt community in his native ghana,the new york times,blog,httpslensblogsnytimescom20170404photoscelebrateghanalgbtcommunity
nan,58e3591d7c459f24986d8391,1195,by owen jones,article,britains trains dont run on time blame capitalism,organized labor delays transportation privatization railroads commuting nationalization of industry conservative party great britain major john blair tony great britain london england,3,oped,0,20170404 082807,unknown,the government wont recognize it but railway privatization has been a costly fiasco,the new york times,oped,httpswwwnytimescom20170404opinionwhybritainstrainsdontrunontimecapitalismhtml
nan,58e359927c459f24986d8392,305,by caroline crosson gilpin,article,questions for no license plates here using art to transcend prison walls,,3,learning,0,20170404 083002,unknown,how do the arts help prison inmates while serving time and when they are released,the new york times,news,httpswwwnytimescom20170404learningquestionsfornolicenseplateshereusingarttotranscendprisonwallshtml
nan,58e3609a7c459f24986d83a6,1551,by jenna wortham,article,unknown,cyberharassment computers and the internet computer security sexual harassment,3,magazine,18,20170404 090003,unknown,the answer might stretch back to the founding principles of the web,the new york times,news,httpswwwnytimescom20170404magazinewhycantsiliconvalleyfixonlineharassmenthtml
nan,58e360977c459f24986d83a2,379,by nitsuh abebe,article,unknown,mount eerie music group elverum phil a crow looked at me album death and dying,3,magazine,17,20170404 090003,unknown,is there any meaning to be found in a loved ones death,the new york times,news,httpswwwnytimescom20170404magazinenewsentencesfromforestfirebymounteeriehtml
nan,58e360997c459f24986d83a5,1493,by carina chocano,article,dry spell,english language slang nunes devin g trump donald j united states politics and government,3,magazine,15,20170404 090004,unknown,after years of mocking one anothers neediness and embarrassing overeagerness weve started to see it in our politicians too,the new york times,news,httpswwwnytimescom20170404magazineitseasytobecalledthirstyonsocialmediawhataboutoncapitolhillhtml
nan,58e360997c459f24986d83a3,635,by caroline crosson gilpin,article,are there subjects that should be offlimits to artists or to certain artists in particular,,3,learning,0,20170404 090004,unknown,does an artists race ethnicity religion or gender matter when creating art about a subject not about his or her own type,the new york times,letter,httpswwwnytimescom20170404learningsubjectsofflimitartistsdanaschutzhenrytaylorhtml
nan,58e3609b7c459f24986d83a9,7255,by jonathan mahler,article,that is great television,cnn the apprentice tv program trump donald j zucker jeff nbcuniversal tapper jake united states politics and government,3,magazine,40,20170404 090004,unknown,inside the strange symbiosis between jeff zucker and the president he helped create,the new york times,news,httpswwwnytimescom20170404magazinecnnhadaproblemdonaldtrumpsolvedithtml
nan,58e360b47c459f24986d83af,2642,by laura pappano,article,thinking in code,computers and the internet colleges and universities children and childhood,3,edlife,18,20170404 090028,education life,computational thinking  approaching problems the way a programmer would  is captivating educators from kindergarten teachers to college professors,the new york times,news,httpswwwnytimescom20170404educationedlifeteachingstudentscomputercodehtml
nan,58e367b27c459f24986d83c2,941,by justin wolfers,article,how gorsuchs influence could be greater than his vote,supreme court us gorsuch neil m courts and the judiciary decisions and verdicts,3,upshot,12,20170404 093023,unknown,a study finds the presence of a liberal or conservative justice can move the entire court left or right and not only with their own vote,the new york times,news,httpswwwnytimescom20170404upshothowgorsuchsinfluencecouldbebiggerthanhissinglevotehtml
nan,58e36e6b7c459f24986d83d5,1148,by jonathan wolfe,article,new york today how to ease a hangover,,3,metro,0,20170404 095901,unknown,tuesday remedies for the morning after deplorable weather and blossoming cherry trees,the new york times,briefing,httpswwwnytimescom20170404nyregionnewyorktodayhowtoeaseahangoverhtml
nan,58e372a57c459f24986d83e1,861,by roger cohen,article,trumps gifts to china,international trade and world market lee hsien loong xi jinping trump donald j,3,oped,0,20170404 101706,unknown,the trump foreign policy shout loud and carry a little stick,the new york times,oped,httpswwwnytimescom20170404opiniontrumpsgiftstochinahtml
