Unnamed: 0,abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
12,,58dff0827c459f24986d7daa,879,by nicholas kristof,article,"in trump country, shock at trump budget cuts","['trump, donald j', 'united states politics and government', 'labor and jobs', 'layoffs and job reductions', 'voting and voters', 'federal budget (us)', 'tulsa (okla)']",3,oped,9,2017-04-01 18:24:59,sunday review,people who have depended on programs that would be hurt by the president’s cost-cutting say they stand by him.,the new york times,op-ed,https://www.nytimes.com/2017/04/01/opinion/sunday/in-trump-country-shock-at-trump-budget-cuts-but-still-loyalty.html
13,,58dff1b17c459f24986d7dae,1513,by michelle goldberg,article,why is this hate different from all other hate?,"['jews and judaism', 'muslim americans', 'trump, donald j', 'gorka, sebastian', 'bannon, stephen k', 'breitbart news network llc', 'anti-semitism', 'muslims and islam', 'flynn, michael t']",2,oped,3,2017-04-01 18:30:04,sunday review,"we’re on high alert for anti-semitism, but the real bigotry is hiding in plain sight.",the new york times,op-ed,https://www.nytimes.com/2017/04/01/opinion/sunday/why-is-this-hate-different-from-all-other-hate.html
14,,58dff1af7c459f24986d7dab,1253,by the editorial board,article,pick your favorite ethical offender,"['conflicts of interest', 'trump, donald j', 'appointments and executive changes', 'trump, ivanka', 'kushner, jared', 'united states politics and government', 'ethics and official misconduct', 'gottlieb, scott (1972- )', 'icahn, carl c', 'liddell, christopher p', 'perdue, sonny', 'bannon, stephen k']",3,editorial,8,2017-04-01 18:30:04,sunday review,"many trump officials — friends, family members and close aides — stand to rake it in at the public’s expense.",the new york times,editorial,https://www.nytimes.com/2017/04/01/opinion/sunday/pick-your-favorite-ethics-offender.html
15,,58dff1bc7c459f24986d7db2,1079,by rebecca carroll,article,my son’s growing black pride,"['blacks', 'race and ethnicity', 'discrimination', 'police brutality, misconduct and shootings', 'social conditions and trends']",3,oped,6,2017-04-01 18:30:16,sunday review,"“you’re so lucky,” my son said to me. “people look at you and know that you are black.”",the new york times,op-ed,https://www.nytimes.com/2017/04/01/opinion/sunday/black-and-proud-even-if-strangers-cant-tell.html
16,,58dff1c07c459f24986d7db5,1068,by dan lyons,article,jerks and the start-ups they ruin,"['venture capital', 'sexual harassment', 'start-ups', 'workplace environment', 'kalanick, travis', 'uber technologies inc']",3,oped,7,2017-04-01 18:30:19,sunday review,bro c.e.o.s like the head of uber will keep destroying companies until people stop paying them.,the new york times,op-ed,https://www.nytimes.com/2017/04/01/opinion/sunday/jerks-and-the-start-ups-they-ruin.html
17,,58dff1c57c459f24986d7db9,844,by ross douthat,article,trump  needs  a brain,"['united states politics and government', 'republican party', 'trump, donald j']",3,oped,9,2017-04-01 18:30:21,sunday review,"or a brain trust, to figure out what trumpism should be.",the new york times,op-ed,https://www.nytimes.com/2017/04/01/opinion/sunday/trump-needs-a-brain.html
18,,58dff1c07c459f24986d7db6,1241,by frank bruni,article,manhood in the age of trump,"['gender', 'men and boys', 'advertising and marketing', 'trump, donald j']",3,oped,3,2017-04-01 18:30:21,sunday review,raging lust. boiling anger. imperious authority. is this what masculinity is still about?,the new york times,op-ed,https://www.nytimes.com/2017/04/01/opinion/sunday/manhood-in-the-age-of-trump.html
19,,58dff1c07c459f24986d7db7,910,by skylar mitchell,article,the value of a black college,"['colleges and universities', 'spelman college', 'blacks']",3,oped,10,2017-04-01 18:30:22,sunday review,there is something powerful about attending an institution that was built for you.,the new york times,op-ed,https://www.nytimes.com/2017/04/01/opinion/sunday/finding-growth-at-my-historically-black-college.html
20,,58e022ef7c459f24986d7dfb,856,by deb amlen,article,initial description,['crossword puzzles'],3,games,0,2017-04-01 22:00:03,unknown,jerry micolis spells it out for us.,the new york times,news,https://www.nytimes.com/2017/04/01/crosswords/initial-description-swan-trio-atlas.html
21,,58e1746c7c459f24986d7f67,510,by deb amlen,article,rough estimates,"['crossword puzzles', 'baseball']",3,games,0,2017-04-02 22:00:02,unknown,"agnes davidson makes her debut, ably assisted by zhouqin burnikel.",the new york times,news,https://www.nytimes.com/2017/04/02/crosswords/rough-estimates-jupiter-tree-huggers.html
22,,58e179167c459f24986d7f70,694,by jennifer krauss,article,el pasatiempo nacional,"['baseball', 'major league baseball', 'spanish language', 'new york mets']",3,insider,2,2017-04-02 22:20:02,unknown,"james wagner, a new york times sports writer, has found that his native command of spanish helps him report from dugouts and locker rooms.",the new york times,news,https://www.nytimes.com/2017/04/02/insider/james-wagner-baseball-spanish.html
23,,58e190867c459f24986d7f92,178,by joseph mcmahon,article,cooling off on a hot day at yankee stadium,"['baseball', 'new york yankees', 'yankee stadium (nyc)', 'new york city']",0,metro,18,2017-04-03 00:00:02,unknown,"sometimes, the most compelling action isn’t on the field.",the new york times,news,https://www.nytimes.com/2017/04/02/nyregion/metropolitan-diary-cooling-off-on-a-hot-day-at-yankee-stadium.html
24,,58e19f4f7c459f24986d7fb0,1548,"by steve eder, eric lipton and andrew w. lehren",article,trump’s staff mixed politics and paydays,"['trump, donald j', 'united states politics and government', 'campaign finance', 'conflicts of interest', 'citizens united v federal election commission (supreme court decision)', 'political action committees', 'consultants', 'mcgahn, donald f ii', 'bannon, stephen k', 'conway, kellyanne', 'priebus, reince r', 'mcfarland, kathleen troia', 'gorka, sebastian', 'mercer, robert (1946- )', 'greenblatt, jason d', 'passantino, stefan c', 'short, marc']",3,national,1,2017-04-03 01:02:56,politics,"as cash has flooded washington from a variety of groups, even the anti-establishment activists and operatives who sided with president trump have been enriched.",the new york times,news,https://www.nytimes.com/2017/04/02/us/politics/trump-aides-disclosures-reveal-explosion-in-lucrative-political-work.html
25,,58e1a10a7c459f24986d7fb3,1045,by harvey araton,article,a virtuoso rebuilding act requires everyone in tune,"['basketball', 'boston celtics', 'ainge, danny', 'stevens, brad (1976- )', 'olynyk, kelly']",3,sports,4,2017-04-03 01:10:09,pro basketball,coach brad stevens and the top executive danny ainge have turned a mediocre franchise into a playoff contender. the knicks should watch and learn.,the new york times,news,https://www.nytimes.com/2017/04/02/sports/basketball/boston-celtics-danny-ainge-new-york-knicks.html
26,,58e1acab7c459f24986d7fc6,820,by judith warner,article,"‘homeland,’ season 6, episode 11: is quinn just a natural killer?","['television', 'homeland (tv program)']",3,culture,0,2017-04-03 02:00:03,television,"did you happen to notice how much of the show was about one character trying to get another to say something? dar and max, carrie and quinn. saul and everyone.",the new york times,news,https://www.nytimes.com/2017/04/02/arts/television/homeland-season-6-episode-11-is-quinn-just-a-natural-killer.html
27,,58e1acb87c459f24986d7fc7,1025,by james poniewozik,article,‘big little lies’ and the art of empathy,"['television', 'big little lies (tv program)', 'home box office', 'kelley, david e', 'vallee, jean-marc', 'kidman, nicole', 'witherspoon, reese', 'woodley, shailene']",3,culture,0,2017-04-03 02:00:15,television,sunday’s series finale delivered a verdict. but judgment — that we got from beginning to end.,the new york times,review,https://www.nytimes.com/2017/04/02/arts/television/big-little-lies-finale.html
28,,58e1acb97c459f24986d7fc8,947,by ben brantley,article,upending a whodunit,"['theater', 'the play that goes wrong (play)', 'bell, mark (theater director)', 'lyceum theater (manhattan, ny)', 'mischief theater (theater co)']",3,culture,1,2017-04-03 02:00:18,unknown,"this knockabout farce from london trades on the perverse comfort of watching things go smash in a safe, contained environment.",the new york times,review,https://www.nytimes.com/2017/04/02/theater/review-the-play-that-goes-wrong-review.html
29,,58e1bab87c459f24986d7fd7,1129,by sheila o'malley,article,‘feud: bette and joan’ episode 5: taking the stage,"['television', 'feud: bette and joan (tv program)']",3,culture,0,2017-04-03 03:00:03,television,joan crawford wasn’t nominated for an oscar in 1963. but she made sure she accepted one anyway.,the new york times,review,https://www.nytimes.com/2017/04/02/arts/television/feud-bette-and-joan-and-the-winner-is-the-oscars-of-1963-recap.html
30,,58e1bab77c459f24986d7fd6,1160,by scott tobias,article,"‘billions’ season 2, episode 7: greed is good. except when it’s not.","['television', 'billions (tv program)']",3,culture,0,2017-04-03 03:00:03,television,"unlike most cinematic portrayals of wall street, “billions” again demonstrates its willingness to make its characters revolting.",the new york times,news,https://www.nytimes.com/2017/04/02/arts/television/billions-season-victory-lap-recap.html
31,,58e1c7977c459f24986d7fe3,1396,by jeremy egner,article,unknown,"['television', 'the walking dead (tv program)']",3,culture,0,2017-04-03 03:54:49,television,“the walking dead” wrapped up season 7 with a well-paced episode that kicked off a new phase of the story.,the new york times,news,https://www.nytimes.com/2017/04/02/arts/television/the-walking-dead-season-7-finale-the-first-day-of-the-rest-of-your-life.html
32,,58e1e52f7c459f24986d8014,452,by the learning network,article,"what’s going on in this picture? | april 3, 2017",[],3,learning,0,2017-04-03 06:01:02,unknown,"look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.",the new york times,news,https://www.nytimes.com/2017/04/03/learning/whats-going-on-in-this-picture-april-3-2017.html
33,,58e1e5617c459f24986d8015,254,by shannon doyne,article,unknown,[],3,learning,0,2017-04-03 06:02:02,unknown,"what does a recent study say about the number of video game players who may be addicted, as well as how they should be helped?",the new york times,news,https://www.nytimes.com/2017/04/03/learning/questions-for-video-games-arent-addictive.html
34,,58e1f36e7c459f24986d8032,499,by shannon doyne,article,have you ever felt pressured by family or others in making an important decision about your future?,[],3,learning,0,2017-04-03 07:02:02,unknown,who has had the strongest influence on you when it comes to making choices that will affect your future?,the new york times,news,https://www.nytimes.com/2017/04/03/learning/have-you-ever-felt-pressured-by-family-or-others-in-making-an-important-decision-about-your-future.html
35,,58e1f7c37c459f24986d803e,2029,by jeff mcmahan and peter singer,article,unknown,"['disabilities', 'abuse of the disabled', 'rutgers, the state university of new jersey', 'singer, peter (1946- )', 'stubblefield, anna (1969- )', 'philosophy', 'colleges and universities', 'sex crimes']",3,oped,0,2017-04-03 07:20:27,unknown,"on tuesday, a court will hear the appeal of the former professor convicted of sexually assaulting a disabled man. her sentence is too harsh.",the new york times,op-ed,https://www.nytimes.com/2017/04/03/opinion/who-is-the-victim-in-the-anna-stubblefield-case.html
36,,58e1f7f27c459f24986d8045,567,by the editorial board,article,a cornerstone of peace at risk,"['united states defense and military forces', 'united states international relations', 'united states politics and government', 'arms control and limitation and disarmament', 'russia', 'putin, vladimir v', 'trump, donald j']",3,editorial,22,2017-04-03 07:21:13,unknown,russia’s violation of the intermediate-range nuclear forces treaty is a crucial security challenge for the trump administration.,the new york times,editorial,https://www.nytimes.com/2017/04/03/opinion/a-cornerstone-of-peace-at-risk.html
37,,58e1f7f27c459f24986d8044,800,by paul krugman,article,trump is  wimping out on trade,"['trump, donald j', 'international trade and world market', 'north american free trade agreement', 'united states politics and government']",3,oped,23,2017-04-03 07:21:14,unknown,why are big boasts turning into tiny policy tweaks?,the new york times,op-ed,https://www.nytimes.com/2017/04/03/opinion/trump-is-wimping-out-on-trade.html
38,,58e1f7f37c459f24986d8048,817,by charles m. blow,article,the dwindling odds of coincidence,"['united states politics and government', 'cyberwarfare and defense', 'presidential election of 2016', 'impeachment', 'trump, donald j', 'flynn, michael t', 'russia']",3,oped,23,2017-04-03 07:21:14,unknown,"connecting the dots, which have been multiplying at an alarming rate.",the new york times,op-ed,https://www.nytimes.com/2017/04/03/opinion/dwindling-odds-of-coincidence.html
39,,58e1f7f17c459f24986d8042,1298,by tariq ali,article,what was lenin thinking?,"['russian revolution (1917)', 'politics and government', 'pravda', 'red army (soviet union)', 'gorbachev, mikhail s', 'khrushchev, nikita s', 'lenin, vladimir', 'stalin, joseph', 'trotsky, leon', 'europe', 'germany', 'moscow (russia)', 'russia', 'ussr (former soviet union)']",3,oped,0,2017-04-03 07:21:14,unknown,"in the shape of its first leader, the russian revolution had a strategic genius it never found again.",the new york times,op-ed,https://www.nytimes.com/2017/04/03/opinion/what-was-lenin-thinking.html
40,"walden pond may conjure images of a new england idyll. but given the human activity around thoreau&#8217;s touchstone, you&#8217;re more likely to find people taking selfies than engaging in self-reflection.",58e201e47c459f24986d8057,812,by jordan g. teicher,blogpost,unknown,"['photography', 'walden pond (concord, mass)', 'thoreau, henry david', 'walker, s b']",3,unknown,0,2017-04-03 08:00:33,unknown,"walden pond may conjure images of a new england idyll. but given the human activity around thoreau&#8217;s touchstone, you&#8217;re more likely to find people taking selfies than engaging in self-reflection.",the new york times,blog,https://lens.blogs.nytimes.com/2017/04/03/walden-pond-where-you-find-more-selfies-than-self-reflection/
41,,58e202757c459f24986d8058,874,by adam jentleson,article,mitch mcconnell’s trigger finger,"['filibusters and debate curbs', 'republican party', 'supreme court (us)', 'gorsuch, neil m', 'democratic party', 'mcconnell, mitch']",3,oped,23,2017-04-03 08:06:06,unknown,the democrats should stand firm against neil gorsuch’s supreme court nomination. let the republicans be the ones who undo senate rules.,the new york times,op-ed,https://www.nytimes.com/2017/04/03/opinion/mitch-mcconnells-nuclear-trigger-finger.html
42,,58e20fba7c459f24986d8077,1455,by david e. sanger and william j. broad,article,ad from north korea yields nuclear clues,"['nuclear weapons', 'arms control and limitation and disarmament', 'north korea', 'trump, donald j', 'kim jong-un', 'united states international relations', 'china', 'nuclear tests', 'lithium (metal)', 'isotopes']",3,foreign,9,2017-04-03 09:02:46,asia pacific,"an ad for the bomb-boosting isotope lithium 6 suggests how far the north’s nuclear program has come, and how difficult president trump’s vow to halt it will be.",the new york times,news,https://www.nytimes.com/2017/04/03/us/politics/north-korea-nuclear-trump-china.html
43,,58e210467c459f24986d8079,1061,"by perri klass, m.d",article,good news for older mothers,"['pregnancy and childbirth', 'birth rates', 'parenting', 'women and girls']",3,well,0,2017-04-03 09:05:03,family,research finds that children born to women in their late 30s did significantly better on cognitive testing than those of younger mothers.,the new york times,news,https://www.nytimes.com/2017/04/03/well/family/good-news-for-the-older-mothers.html
44,,58e2162b7c459f24986d8085,892,by aaron e. carroll,article,does birth control cause depression?,"['birth control and family planning', 'women and girls', 'hormones', 'depression (mental)', 'teenage pregnancy', 'mental health and disorders']",3,upshot,11,2017-04-03 09:30:14,unknown,"putting a study in context: even if there were a connection with hormone-based contraception, the benefits might outweigh any risks.",the new york times,news,https://www.nytimes.com/2017/04/03/upshot/birth-control-causes-depression-not-so-fast.html
45,,58e21d3d7c459f24986d8099,1098,by jane e. brody,article,turning negative thinkers into positive ones,"['love (emotion)', 'anxiety and stress', 'empathy', 'mental health and disorders']",66,science,5,2017-04-03 10:00:23,live,chronically viewing the glass as half-empty inhibits one’s ability to bounce back from life’s inevitable stresses.,the new york times,news,https://www.nytimes.com/2017/04/03/well/live/turning-negative-thinkers-into-positive-ones.html
46,,58e21ea47c459f24986d809b,1050,by jonathan wolfe,article,new york today: a belated budget,[],3,metro,0,2017-04-03 10:06:19,unknown,"monday: wrangling over state funding, shutting down rikers island, and making the first private cellphone call.",the new york times,briefing,https://www.nytimes.com/2017/04/03/nyregion/new-york-today-a-belated-budget.html
47,,58e22b407c459f24986d80b8,1261,by allison stanger,article,"middlebury, my divided campus","['colleges and universities', 'demonstrations, protests and riots', 'middlebury college', 'surveillance of citizens by government', 'freedom of speech and expression']",3,edlife,22,2017-04-03 11:00:03,education life,"to one side, free speech is paramount. to the other, inclusivity is. to a professor caught in the middle, there’s a bridge.",the new york times,news,https://www.nytimes.com/2017/04/03/education/edlife/middlebury-divided-campus-charles-murray-free-speech.html
48,,58e288a67c459f24986d81d9,1190,by matt flegenheimer,article,democrats’ vow to bar gorsuch sets up a clash,"['united states politics and government', 'gorsuch, neil m', 'trump, donald j', 'appointments and executive changes', 'senate committee on the judiciary', 'republican party', 'supreme court (us)', 'democratic party', 'senate']",3,national,1,2017-04-03 17:38:42,politics,the senate judiciary committee approved the nomination of judge neil m. gorsuch and sent it to the deeply divided full senate.,the new york times,news,https://www.nytimes.com/2017/04/03/us/politics/senate-democrats-appear-poised-to-filibuster-gorsuch-nomination.html
49,,58e293557c459f24986d81fc,1279,by miriam jordan,article,h-1b visa applications pour in by the truckload,"['visas', 'immigration and emigration', 'foreign workers', 'outsourcing', 'citizenship and immigration services (us)', 'computers and the internet']",3,national,1,2017-04-03 18:23:59,unknown,possible changes to a program that allows technology companies to import foreign workers may be adding to an even heavier rush than usual this year.,the new york times,news,https://www.nytimes.com/2017/04/03/us/tech-visa-applications-h1b.html
50,,58e29a807c459f24986d8213,1106,by marc tracy,article,"in amplified world, critics take aim at referees","['officiating (sports)', 'basketball (college)', 'national collegiate athletic assn', 'higgins, john (referee)']",3,sports,8,2017-04-03 18:54:48,college basketball,"john higgins was harassed by fans for his performance in a game in which his bosses felt he performed well, illustrating referees’ often thankless task.",the new york times,news,https://www.nytimes.com/2017/04/03/sports/ncaabasketball/referee-john-higgins-ncaa-tournament.html
51,,58e2a0ba7c459f24986d8227,513,by robert simonson,article,"a revered milwaukee restaurant, karl ratzsch, says goodbye","['restaurants', 'milwaukee (wis)', 'hauck, thomas', 'karl ratzsch (milwaukee, wis, restaurant)']",2,dining,0,2017-04-03 19:21:20,unknown,the german dining institution has closed after 113 years and a major effort by the noted chef thomas hauck.,the new york times,news,https://www.nytimes.com/2017/04/03/dining/milwaukee-german-restaurant-karl-ratzsch-closed.html
52,,58e2add17c459f24986d8248,1035,by ben shpigel,article,n.h.l. says its players will skip 2018 olympics,"['olympic games (2018)', 'hockey, ice', 'national hockey league', 'international olympic committee']",3,sports,7,2017-04-03 20:17:10,hockey,"n.h.l. players have participated in every olympics since 1998, but owners do not want to shut down the league for a few weeks to cater to the games in pyeongchang, south korea.",the new york times,news,https://www.nytimes.com/2017/04/03/sports/hockey/nhl-2018-olympics-pyeongchang.html
53,,58e2b7477c459f24986d8264,599,by alexis soloski,article,in the company of a classic nasty woman,"['theater', 'hamill, kate a (1981- )', 'pearl theater co', 'thackeray, william makepeace', 'vanity fair (play)']",3,culture,2,2017-04-03 20:57:37,unknown,"kate hamill and eric tucker, the team behind 2014’s “sense and sensibility,” are back with a breathless “vanity fair” adaptation at the pearl theater.",the new york times,review,https://www.nytimes.com/2017/04/03/theater/vanity-fair-broadway-review-kate-hamill-eric-tucker.html
54,,58e2c2cf7c459f24986d8283,2730,by katherine schulten,article,22 ways to teach and learn about poetry with the new york times,[],57,learning,0,2017-04-03 21:46:43,lesson plans,ideas for helping even the most verse averse find something to enjoy.,the new york times,news,https://www.nytimes.com/2017/04/03/learning/lesson-plans/22-ways-to-teach-and-learn-about-poetry-with-the-new-york-times.html
55,,58e2cd567c459f24986d82a5,830,by joan nathan,article,in search of king solomon’s pantry,"['cooking and cookbooks', 'passover', 'jews and judaism']",3,dining,6,2017-04-03 22:31:42,unknown,"little is known about the biblical king (some scholars even doubt his existence), but he had a ravenous appetite and access to foods from across the world.",the new york times,news,https://www.nytimes.com/2017/04/03/dining/the-legend-of-king-solomon-and-the-passover-feast.html
56,,58e2d3a27c459f24986d82b6,1006,by angelica jade bastién,article,unknown,"['television', 'the good fight (tv program)']",3,culture,0,2017-04-03 22:58:38,television,the return of a founding partner makes members of the firm question what they’ve come to represent.,the new york times,review,https://www.nytimes.com/2017/04/03/arts/television/the-good-fight-reddick-v-boseman-ecap.html
57,,58e2e20e7c459f24986d82db,206,by julia lansford,article,going back to move forward,['new york city'],0,metro,18,2017-04-04 00:00:02,unknown,an episode on a tour bus seems to foretell the future.,the new york times,brief,https://www.nytimes.com/2017/04/03/nyregion/metropolitan-diary-going-back-to-move-forward.html
58,,58e2e4bb7c459f24986d82e0,596,by the editorial board,article,a peek into the white house swamp,"['united states politics and government', 'ethics and official misconduct', 'trump, donald j', 'conflicts of interest', 'office of government ethics', 'priebus, reince r', 'conway, kellyanne', 'mcgahn, donald f ii', 'mcfarland, kathleen troia']",3,editorial,26,2017-04-04 00:11:33,unknown,officials’ financial disclosure forms raise more questions than they answer and provide no assurance of ethical behavior.,the new york times,editorial,https://www.nytimes.com/2017/04/03/opinion/a-peek-into-the-white-house-swamp.html
59,,58e2fe2d7c459f24986d8306,367,by deb amlen,article,disney character,['crossword puzzles'],3,games,0,2017-04-04 02:00:02,unknown,timothy polin teaches us that actions have consequences.,the new york times,news,https://www.nytimes.com/2017/04/03/crosswords/disney-character-noble-line-on-the-beach.html
60,,58e2fe327c459f24986d8307,974,by ben brantley,article,living the quirky dream,"['theater', 'amelie (play)', 'mackinnon, pam', 'nigrini, peter (1971- )', 'pinkleton, sam', 'tysen, nathan', 'zinn, david', 'soo, phillipa', 'kerr, walter, theater', 'lucas, craig', 'messe, daniel']",3,culture,1,2017-04-04 02:00:16,unknown,this mild-mannered musical adaptation of the famously divisive 2001 french film is unlikely to inspire similarly passionate responses.,the new york times,review,https://www.nytimes.com/2017/04/03/theater/amelie-musical-broadway-review-phillipa-soo.html
61,,58e3019b7c459f24986d830c,889,by sheryl gay stolberg and eric lichtblau,article,justice dept. to re-examine police accords,"['baltimore (md)', 'sessions, jefferson b iii', 'justice department', 'police', 'attorneys general', 'chicago (ill)', 'police brutality, misconduct and shootings', 'local government', 'police department (baltimore, md)', 'police department (chicago, ill)']",3,national,1,2017-04-04 02:14:42,unknown,"attorney general jeff sessions has ordered a review of federal agreements with dozens of law enforcement agencies, including the baltimore police department.",the new york times,news,https://www.nytimes.com/2017/04/03/us/justice-department-jeff-sessions-baltimore-police.html
62,,58e31f947c459f24986d832e,1396,by zach schonbrun,article,"this year, their year","['basketball (college)', 'national collegiate athletic assn', 'university of north carolina', 'gonzaga university']",3,sports,7,2017-04-04 04:22:36,college basketball,"with a strong second-half defensive effort, north carolina claimed the sixth national title in its program’s history a year after a heartbreaking loss.",the new york times,news,https://www.nytimes.com/2017/04/04/sports/ncaabasketball/north-carolina-beats-gonzaga-ncaa-champions.html
63,,58e3310c7c459f24986d8344,1236,by margot sanger-katz,article,latest health proposal weakens coverage for pre-existing conditions,"['health insurance and managed care', 'patient protection and affordable care act (2010)', 'republican party', 'meadows, mark r (1959- )', 'house of representatives']",3,upshot,13,2017-04-04 05:37:07,unknown,the proposal would effectively eliminate one of the affordable care act’s most popular provisions.,the new york times,news,https://www.nytimes.com/2017/04/04/upshot/freedom-caucus-health-care-pre-existing-conditions.html
64,,58e336e47c459f24986d834a,66,by katherine schulten,article,losing things,[],3,learning,0,2017-04-04 06:02:02,unknown,do you lose things often? how do you find them again? when have you recently lost an item that caused you a great deal of trouble to find or replace?,the new york times,news,https://www.nytimes.com/2017/04/04/learning/losing-things.html
65,,58e349707c459f24986d8363,827,by david brooks,article,let’s go for a win on opioids,"['pain-relieving drugs', 'drug abuse and traffic', 'drugs (pharmaceuticals)', 'heroin', 'trump, donald j']",3,oped,27,2017-04-04 07:21:13,unknown,this is the moment for a war on a problem that is getting worse.,the new york times,op-ed,https://www.nytimes.com/2017/04/04/opinion/lets-go-for-a-win-on-opioids.html
